205301892,36.4,7,0.044304876,0.085201685
205101182,37.6,2,0.046290597,0.024622658
205407076,28.5,2,0.048609098,0.034111647
205504214,48.4,1,0.051006428,0.010538518
205752674,36.4,2,0.051504818,0.028299351
205353271,33.3,1,0.053977825,0.016209557
205801613,38.1,3,0.059613218,0.046939542
205852174,45.9,4,0.061976776,0.054010262
205207261,50.7,86,0.067254759,1.140810506
205653431,61.5,20,0.068775791,0.223661109
205504971,30.9,13,0.071344462,0.300154695
205255253,34.4,3,0.073653784,0.064232952
205607453,49.9,5,0.073815476,0.073963403
205353274,40.3,5,0.074916811,0.092948897
205652311,63.3,32,0.082994624,0.419562082
205407075,35.3,2,0.083043192,0.047049967
205506981,42.8,13,0.083829521,0.254622375
205300661,52.3,2,0.084960525,0.032489685
205801616,42.7,1,0.085903394,0.020117891
205104330,55.7,20,0.088213867,0.316746381
205105063,60,17,0.089719626,0.254205607
205554411,54.2,1,0.093912983,0.017327119
205504975,65.2,5,0.104791141,0.080361304
205905345,59.5,6,0.112976114,0.113925493
205652314,54.3,6,0.113569815,0.125491508
205553674,46.1,2,0.115057279,0.04991639
205105065,47.3,6,0.117606107,0.149183222
205451111,54,1,0.124596216,0.023073373
205656352,57.7,38,0.129004852,0.849598676
205204651,51.3,4,0.129932628,0.10131199
205407071,31.6,1,0.134422324,0.04253871
205650912,71.4,9,0.135924918,0.17133393
205554412,57.9,18,0.139558427,0.433860393
205905341,52.6,3,0.143328156,0.081746097
205301891,66.6,22,0.145079075,0.479240186
205905344,69.7,7,0.147926482,0.148563182
205801452,36,1,0.149769106,0.041602529
205653434,68.9,2,0.152423512,0.044244851
205451112,75.1,2,0.153362331,0.040842165
205056351,69.3,76,0.153461181,1.68297976
205054608,75.3,150,0.162001678,3.227125062
205055901,81.4,45,0.163457098,0.903632603
205255251,68.2,102,0.165558091,2.476088751
205057351,78.6,72,0.175650308,1.609010459
205451113,60.8,18,0.181535889,0.537441777
205057352,44.7,14,0.181818182,0.569452918
205055902,68.4,269,0.193773195,7.620612482
205607452,58.7,3,0.199659864,0.102040816
205103112,62.3,7,0.212236833,0.238468352
205607456,32.4,1,0.21250082,0.065586673
205207267,46,2,0.216003005,0.09391435
205451114,66.9,11,0.233450815,0.383850368
205801618,46,3,0.339058008,0.221124788
205054605,45.7,105,0.343479895,7.891770011
205405718,46.2,1,0.500704454,0.108377588
210052755,53.1,1,0.554453378,0.104416832
